Date,Lunar date,This year,last year,direction
01/01/20,12/07/19,2.85,3.77,0
01/02/20,12/08/19,3.09,3.47,0
01/03/20,12/09/19,4.22,4.1,0
01/04/20,12/10/19,4.45,3.4,0
01/05/20,12/11/19,5.08,3.44,0
01/06/20,12/12/19,4.31,3.54,0
01/07/20,12/13/19,4.25,3.88,0
01/08/20,12/14/19,4.47,3.94,0
01/09/20,12/15/19,4.81,3.73,0
01/10/20,12/16/19,4.6,4.15,0
01/11/20,12/17/19,4.64,3.86,0
01/12/20,12/18/19,4.37,4.09,0
01/13/20,12/19/19,4.83,4.47,0
01/14/20,12/20/19,4.08,4.65,0
01/15/20,12/21/19,4.06,4.78,0
01/16/20,12/22/19,4,4.64,0
01/17/20,12/23/19,4.4,5.1,0
01/18/20,12/24/19,4.23,4.41,0
01/19/20,12/25/19,4.15,4.55,0
01/20/20,12/26/19,4.18,4.4,0
01/21/20,12/27/19,4.24,4.26,0
01/22/20,12/28/19,2.9,3.9,0
01/23/20,12/29/19,1.75,3.39,0
01/24/20,12/30/19,0.88,2.62,0
01/25/20,01/01/20,0.63,2.6,0
01/26/20,01/02/20,0.51,5.56,0
01/27/20,01/03/20,0.42,5.66,0
01/28/20,01/04/20,0.41,6.73,0
01/29/20,01/05/20,0.37,8.46,0
01/30/20,01/06/20,0.35,11.35,0
01/31/20,01/07/20,0.33,12.67,0
02/01/20,01/08/20,0.36,10.87,0
02/02/20,01/09/20,0.39,9.11,0
02/03/20,01/10/20,0.4,8.11,0
02/04/20,01/11/20,0.41,7.1,0
02/05/20,01/12/20,0.37,7.19,0
02/06/20,01/13/20,,6.89,0
02/07/20,01/14/20,,5.62,0
02/08/20,01/15/20,,4.32,0
02/09/20,01/16/20,,7.58,0
02/10/20,01/17/20,,7.12,0
02/11/20,01/18/20,,6.81,0
02/12/20,01/19/20,,7.12,0
02/13/20,01/20/20,,7.27,0
02/14/20,01/21/20,,5.32,0
02/15/20,01/22/20,,4.29,0
02/16/20,01/23/20,,4.38,0
02/17/20,01/24/20,,5.16,0
02/18/20,01/25/20,,4.24,0
01/01/20,12/07/19,3.46,5.05,1
01/02/20,12/08/19,3.52,4.06,1
01/03/20,12/09/19,5.52,4,1
01/04/20,12/10/19,6.1,3.72,1
01/05/20,12/11/19,5.32,3.99,1
01/06/20,12/12/19,5.6,4.22,1
01/07/20,12/13/19,6.41,4.43,1
01/08/20,12/14/19,7.34,5.29,1
01/09/20,12/15/19,8.14,4.58,1
01/10/20,12/16/19,6.62,4.57,1
01/11/20,12/17/19,7.56,4.69,1
01/12/20,12/18/19,6.22,4.81,1
01/13/20,12/19/19,5.76,4.86,1
01/14/20,12/20/19,5.46,5.66,1
01/15/20,12/21/19,5.91,7.04,1
01/16/20,12/22/19,6,6.49,1
01/17/20,12/23/19,6.44,6.77,1
01/18/20,12/24/19,7.71,7.03,1
01/19/20,12/25/19,7.41,7.11,1
01/20/20,12/26/19,8.31,7.48,1
01/21/20,12/27/19,10.74,8.71,1
01/22/20,12/28/19,11.84,9.6,1
01/23/20,12/29/19,11.14,9.22,1
01/24/20,12/30/19,3.89,7.38,1
01/25/20,01/01/20,1.3,5.54,1
01/26/20,01/02/20,0.66,6.54,1
01/27/20,01/03/20,0.43,5.64,1
01/28/20,01/04/20,0.32,4.7,1
01/29/20,01/05/20,0.26,4.27,1
01/30/20,01/06/20,0.24,3.72,1
01/31/20,01/07/20,0.24,3.5,1
02/01/20,01/08/20,0.24,3.28,1
02/02/20,01/09/20,0.46,3.4,1
02/03/20,01/10/20,0.21,3.37,1
02/04/20,01/11/20,0.23,3.45,1
02/05/20,01/12/20,0.28,3.99,1
02/06/20,01/13/20,,3.56,1
02/07/20,01/14/20,,4.09,1
02/08/20,01/15/20,,3.71,1
02/09/20,01/16/20,,2.98,1
02/10/20,01/17/20,,2.9,1
02/11/20,01/18/20,,3.05,1
02/12/20,01/19/20,,3.9,1
02/13/20,01/20/20,,3.78,1
02/14/20,01/21/20,,3.34,1
02/15/20,01/22/20,,3.07,1
02/16/20,01/23/20,,3.28,1
02/17/20,01/24/20,,4.32,1
02/18/20,01/25/20,,3.62,1
